Market,Strategy,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,Synthetic Pure VRP Proxy,5.0,122,2015-06-30,2026-07-31,0.2908195822216047,0.324574903045439,0.11540436339201186,0.2575241644968159,0.292114153597252,-0.0628140731107405,True,0.25632709691434585,0.20175974636470453,0.3194703924966415,True,0.2911591388657022,0.22708922361140968,0.3650966938493947,True,0.0,0.0,2563.2709691434584,2911.591388657022,0.2541363954504361,0.1999422401784268,0.3176020040072548,True,0.2889060564450745,0.2231852717578556,0.36579559373638304,True,0.0,0.0,2541.363954504361,2889.060564450745
EU,1/N Equity-Bond,5.0,122,2015-06-30,2026-07-31,0.02759878899420954,0.0230208871789086,0.09840938968986584,0.0033877690463798536,0.0032080971521775137,-0.0977640758101841,True,0.0021907014639097697,-0.006792668129315028,0.011244228745306202,False,0.0022530824206277167,-0.007408359964411892,0.011071332315834202,False,0.334,0.335,21.907014639097696,22.530824206277167,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,RSM RV + Log VRP,5.0,122,2015-06-30,2026-07-31,0.02273784207543454,0.018710552913646872,0.09182109673318331,0.0016600575622230255,0.0016667868820838816,-0.0760675938651776,True,0.00046298997975294156,-0.02476514544538339,0.032562946162077284,False,0.0007117721505340846,-0.026002111515622903,0.033679748791353485,False,0.5,0.498,4.629899797529416,7.117721505340846,-0.0017277114841568282,-0.022193475874339227,0.023960829492433913,False,-0.001541310270093632,-0.022473287285610086,0.02485753383705093,False,0.5555,0.55,-17.27711484156828,-15.41310270093632
EU,60/40,5.0,122,2015-06-30,2026-07-31,0.03280039761742443,0.02683995596547395,0.11243367829072275,0.001197067582470084,0.000955014731549797,-0.1108168396733621,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,-0.0021907014639097697,-0.011244228745306202,0.006792668129315027,False,-0.0022530824206277167,-0.011071332315834204,0.00740835996441189,False,0.666,0.665,-21.907014639097696,-22.530824206277167
EU,RSM RV,5.0,122,2015-06-30,2026-07-31,0.020314076485901656,0.016588036298176068,0.08804064386580371,0.0009361890551384498,0.0009056994737726143,-0.0761426165418579,True,-0.00026087852733163407,-0.024044621679905925,0.03197560250296402,False,-4.931525777718271e-05,-0.02598893053198891,0.03312875854379703,False,0.474,0.4725,-2.608785273316341,-0.4931525777718271,-0.002451579991241404,-0.020747088531161768,0.02353006624313457,False,-0.0023023976784048994,-0.021513699511480577,0.02456020168020805,False,0.5395,0.5375,-24.51579991241404,-23.023976784048994
EU,RSM RV + Raw VRP,5.0,122,2015-06-30,2026-07-31,0.03158501716887586,0.025548259192259115,0.11244738473362685,-2.601866470488233e-05,-0.0010379442148448215,-0.1370805033268703,True,-0.0012230862471749662,-0.0274628873310708,0.027598398084724102,False,-0.0019929589463946185,-0.029073261549070768,0.02749850331421773,False,0.646,0.663,-12.230862471749662,-19.929589463946186,-0.003413787711084736,-0.030928761275422084,0.023219122672344487,False,-0.004246041367022335,-0.0328895132222882,0.023644264648931886,False,0.691,0.7055,-34.13787711084736,-42.46041367022335
EU,HMM RV,5.0,122,2015-06-30,2026-07-31,0.02382417343277298,0.01803281579167626,0.10936272209535183,-0.0060763390274899114,-0.006061145912800603,-0.0788113544497624,True,-0.007273406609959995,-0.02800607007580467,0.016529526481570845,False,-0.0070161606443504,-0.028780989243189115,0.01729100195637325,False,0.7035,0.693,-72.73406609959996,-70.161606443504,-0.009464108073869765,-0.02875508245093951,0.013877540069034544,False,-0.009269243064978117,-0.02837340344133403,0.014718280483460933,False,0.767,0.757,-94.64108073869765,-92.69243064978116
EU,RSM Returns Only,5.0,122,2015-06-30,2026-07-31,0.012042471748801985,0.008265351848603109,0.08736522558173278,-0.007039234853565654,-0.007262433978497684,-0.0751342078642919,True,-0.008236302436035738,-0.035934761427310453,0.026287113167682955,False,-0.008217448710047481,-0.03746554207112078,0.02598477443477396,False,0.67,0.666,-82.36302436035739,-82.1744871004748,-0.010427003899945508,-0.03232645372164523,0.017667858592096852,False,-0.010470531130675198,-0.03321420886140943,0.018326876744926047,False,0.7685,0.7595,-104.27003899945508,-104.70531130675198
EU,HMM RV + Log VRP,5.0,122,2015-06-30,2026-07-31,0.019103440964485477,0.013546958162249156,0.10653029704453912,-0.009268319506508877,-0.009276966077518156,-0.0789139974785599,True,-0.010465387088978961,-0.03779837509778054,0.01608464320900788,False,-0.010231980809067953,-0.038227836803783756,0.01696483193105496,False,0.8005,0.788,-104.65387088978962,-102.31980809067953,-0.01265608855288873,-0.03971347856794721,0.013097654820023237,False,-0.01248506322969567,-0.03970457098475663,0.013565742132757306,False,0.844,0.832,-126.56088552888731,-124.8506322969567
EU,Buy-and-Hold Equity,5.0,122,2015-06-30,2026-07-31,0.05378047310816206,0.0398414567054608,0.17172261608929754,-0.019941169083218625,-0.02064699588870922,-0.1629649254036141,True,-0.02113823666568871,-0.059246707233424005,0.01575215798676956,False,-0.021602010620259016,-0.05764973648121994,0.018155181107562493,False,0.8475,0.839,-211.38236665688711,-216.02010620259017,-0.023328938129598478,-0.0702574429662715,0.022432595193574375,False,-0.023855093040886732,-0.06861907847110804,0.026016533836677215,False,0.821,0.8155,-233.28938129598478,-238.55093040886732
