Market,Period,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Period Obs,Period Start,Period End,Target Ann. Vol,Realized / Target Vol
EU,Full Sample,Direct Short Variance 10% Vol,0.135973043259211,0.11371143847607397,1.1859715834566142,1.6062059908596817,-0.21360736588724494,0.6365559665717985,-0.04948688100023153,-0.09129953730315077,0.05401310234347261,170.0,5.0,0.10253280664585392,0.10191254887151358,0.09033011435014993,0.08755283763873345,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,1.1371143847607397
EU,Full Sample,Direct Short Variance 10% Vol (VRP > 0),0.13078430819374431,0.0969590268794511,1.3239358698465213,1.8912768988553412,-0.21360736588724505,0.6122649734034932,-0.036603067304811145,-0.07342976626315853,0.043876925419398465,170.0,5.0,0.10486490135759305,0.10672871500020986,0.09266220906188906,0.08988493235047257,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.9695902687945109
EU,Full Sample,Direct Short Variance 10% Vol (High VRP),0.06433288685606153,0.07644154643360092,0.8573140767359271,1.1709002548109357,-0.16942066701027925,0.37972278111830515,-0.013106418424765898,-0.05319161793953022,0.023289544125737277,170.0,5.0,0.050926138752088165,0.049832432919883596,0.038723446456384175,0.03594616974496769,170,2011-06-30,2026-07-31,170,2011-06-30,2026-07-31,0.1,0.7644154643360092
EU,First Half,Direct Short Variance 5% Vol,0.046744054226128595,0.05252094707186031,0.8979517423895962,1.1770233808060684,-0.09047268366584449,0.5166648355295285,-0.026174727703832504,-0.03975763785914852,0.024393431838548314,85.0,5.0,0.04026515123181585,0.04060103135031179,0.040363649904353475,0.03109809880052802,85,2011-06-30,2019-06-30,85,2011-06-30,2019-06-30,0.05,1.050418941437206
EU,First Half,Direct Short Variance 10% Vol,0.09233591838673183,0.10504189414372062,0.8979517423895962,1.1770233808060684,-0.1810924823726323,0.5098826697661202,-0.05234945540766501,-0.07951527571829704,0.04878686367709663,85.0,5.0,0.06673805305700595,0.06457118983365828,0.06683655172954357,0.05757100062571811,85,2011-06-30,2019-06-30,85,2011-06-30,2019-06-30,0.1,1.050418941437206
EU,First Half,Direct Short Variance 10% Vol (VRP > 0),0.12773377088294424,0.0707404275494679,1.7429442984806014,3.069296782654414,-0.06327846147615335,2.018597922629346,-0.02291157982885935,-0.042669461145567224,0.03852276247461961,85.0,5.0,0.11078610464472134,0.1162910660366987,0.11088460331725897,0.10161905221343351,85,2011-06-30,2019-06-30,85,2011-06-30,2019-06-30,0.1,0.7074042754946789
EU,First Half,Direct Short Variance 10% Vol (High VRP),0.057903820692736696,0.05547501018109896,1.0443771153619017,1.9986701193853336,-0.07074933661304361,0.8184362350905964,-0.01340442030935001,-0.029020712476611643,0.02025042377610332,85.0,5.0,0.05024313922112568,0.05150874967993602,0.050341637893663305,0.041076086789837846,85,2011-06-30,2019-06-30,85,2011-06-30,2019-06-30,0.1,0.5547501018109896
EU,Second Half,Direct Short Variance 5% Vol,0.08930441871749117,0.06062918801911367,1.446452800651446,2.0017964609511023,-0.10996122393466934,0.8121446408285626,-0.02105007256452594,-0.046714321903719394,0.0296196705049243,85.0,5.0,0.0785075127118275,0.08074347686765693,0.05424318670523336,0.05794008613858409,85,2019-07-31,2026-07-31,85,2019-07-31,2026-07-31,0.05,1.2125837603822733
EU,Second Half,Direct Short Variance 10% Vol,0.1813534035550466,0.12125837603822734,1.446452800651446,2.0017964609511023,-0.21360736588724494,0.8490035107252624,-0.04210014512905188,-0.09342864380743879,0.0592393410098486,85.0,5.0,0.13863553322436983,0.14102092965118884,0.11437120721777569,0.11806810665112642,85,2019-07-31,2026-07-31,85,2019-07-31,2026-07-31,0.1,1.2125837603822733
EU,Second Half,Direct Short Variance 10% Vol (VRP > 0),0.13384309725520138,0.1179214920501839,1.1315871262553574,1.530652946735008,-0.21360736588724494,0.626584653105324,-0.04210014512905188,-0.09342864380743879,0.04923108836417733,85.0,5.0,0.09867474659445762,0.0972752699498105,0.07441042058786347,0.0781073200212142,85,2019-07-31,2026-07-31,85,2019-07-31,2026-07-31,0.1,1.179214920501839
EU,Second Half,Direct Short Variance 10% Vol (High VRP),0.07080102357658058,0.09310731135724327,0.7854592237313123,0.992920368823243,-0.14053608307346055,0.5037924924915668,-0.00917419112067326,-0.0687566659761881,0.026328664475371234,85.0,5.0,0.0514595679319333,0.04815967744930738,0.027195241925339158,0.030892141358689888,85,2019-07-31,2026-07-31,85,2019-07-31,2026-07-31,0.1,0.9310731135724327
EU,Pre-Covid,Direct Short Variance 5% Vol,0.05118364619778659,0.05279936956896139,0.9739587290903136,1.301723608582868,-0.09047268366584449,0.5657359119226568,-0.024449662359210804,-0.03975763785914852,0.024652198977053067,91.0,5.0,0.044454973314956,0.04497237922752362,0.038353332167691045,0.03058827104609744,91,2011-06-30,2019-12-31,91,2011-06-30,2019-12-31,0.05,1.0559873913792277
EU,Pre-Covid,Direct Short Variance 10% Vol,0.1015645454218681,0.10559873913792278,0.9739587290903136,1.301723608582868,-0.1810924823726323,0.5608435208971275,-0.04889932471842161,-0.07951527571829704,0.049304397954106134,91.0,5.0,0.07497107949551317,0.07351171717121652,0.06886943834824821,0.061104377226654606,91,2011-06-30,2019-12-31,91,2011-06-30,2019-12-31,0.1,1.0559873913792277
EU,Pre-Covid,Direct Short Variance 10% Vol (VRP > 0),0.12805792342264,0.07300320133118128,1.695130502779704,2.957005266950157,-0.06327846147615335,2.023720558865025,-0.029014153220286755,-0.046548527517795826,0.039032993860796505,91.0,5.0,0.11042628486555081,0.11586870138547845,0.10432464371828586,0.09655958259669226,91,2011-06-30,2019-12-31,91,2011-06-30,2019-12-31,0.1,0.7300320133118128
EU,Pre-Covid,Direct Short Variance 10% Vol (High VRP),0.052731822483407464,0.057108882246419336,0.9299639130228823,1.6556443030139032,-0.07594362621002249,0.694354814419545,-0.0163815610677918,-0.03489690049327264,0.02077326340995418,91.0,5.0,0.04495563852365467,0.04593639401499705,0.03885399737638971,0.031088936254796105,91,2011-06-30,2019-12-31,91,2011-06-30,2019-12-31,0.1,0.5710888224641933
EU,Covid and After,Direct Short Variance 5% Vol,0.0872929143372001,0.061103643061008274,1.4052393869216577,1.9225417554343847,-0.10880825057804822,0.8022637426247824,-0.020504007114123708,-0.053014932142108964,0.029718526484599272,79.0,5.0,0.07653110792541332,0.07859166568861209,0.0576179738724487,0.060543090330396385,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.05,1.2220728612201655
EU,Covid and After,Direct Short Variance 10% Vol,0.17694231306730202,0.12220728612201655,1.4052393869216577,1.9225417554343847,-0.2115673068555628,0.836340527736172,-0.041008014228247416,-0.10602986428421793,0.059437052969198545,79.0,5.0,0.13439393987419113,0.13588292924767753,0.11548080582122651,0.1184059222791742,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,1.2220728612201655
EU,Covid and After,Direct Short Variance 10% Vol (VRP > 0),0.13393299510498857,0.11922710108332626,1.1212762633659097,1.5044767851298275,-0.2115673068555628,0.6330514723450384,-0.041008014228247416,-0.10602986428421793,0.049456644050193135,79.0,5.0,0.09814876431282747,0.09632366927426461,0.07923563025986285,0.08216074671781054,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,1.1922710108332626
EU,Covid and After,Direct Short Variance 10% Vol (High VRP),0.07785467343882613,0.0941542540644495,0.8480445531686421,1.071248951894236,-0.14053608307346055,0.5539835160919505,-0.005715702214236167,-0.07518989199515455,0.026188044697082368,79.0,5.0,0.057684443420930626,0.05434429460784829,0.03877130936796601,0.041696425825913694,79,2020-01-31,2026-07-31,79,2020-01-31,2026-07-31,0.1,0.9415425406444949
