Market,Scenario,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Excluded Obs,Retained Obs,Target Ann. Vol,Realized / Target Vol
EU,Exclude Volmageddon,Direct Short Variance 10% Vol (High VRP),0.06659294783830827,0.07659857355227548,0.8835715600990524,1.2070891440756966,-0.16942066701027925,0.3930627178694078,-0.011932493488510299,-0.052450563935098504,0.023305278280640968,168.0,5.0,0.05301196745933767,0.051977725984385215,0.03778619909480657,0.035621987913183856,168,2011-06-30,2026-07-31,2,168,0.1,0.7659857355227547
EU,Exclude Covid Shock,Direct Short Variance 5% Vol,0.0775300902222893,0.05231596037306416,1.4581815520544157,2.08551586324422,-0.09047268366584449,0.8569447382443313,-0.020793607340086753,-0.03798342383690501,0.027024555988474693,166.0,5.0,0.06944376901962196,0.07127454230730179,0.04645433650206819,0.045366663710372956,166,2011-06-30,2026-07-31,4,166,0.05,1.046319207461283
EU,Exclude Covid Shock,Direct Short Variance 10% Vol,0.15725908163160152,0.10463192074612832,1.4581815520544157,2.08551586324422,-0.1810924823726323,0.8683909987384841,-0.041587214680173505,-0.07596684767381003,0.054049111976949386,166.0,5.0,0.12520273949046384,0.12839675940563633,0.10221330697291008,0.10112563418121484,166,2011-06-30,2026-07-31,4,166,0.1,1.046319207461283
EU,Exclude Covid Shock,Direct Short Variance 10% Vol (VRP > 0),0.1537954740027616,0.08566231012321444,1.7233872335467226,2.765050796489587,-0.14053608307346055,1.0943486586456956,-0.02851057356890988,-0.0557488924509642,0.04419612742940829,166.0,5.0,0.12928425322335355,0.1354273417932823,0.10629482070579978,0.10520714791410454,166,2011-06-30,2026-07-31,4,166,0.1,0.8566231012321444
EU,Exclude Covid Shock,Direct Short Variance 10% Vol (High VRP),0.07690064515861472,0.06777260228390942,1.1311116622689714,1.736962525235444,-0.14053608307346066,0.5471950226364102,-0.012080585142844743,-0.03990429295003914,0.023508262745472217,166.0,5.0,0.06517556677481427,0.06592796393633793,0.042186134257260505,0.04109846146556527,166,2011-06-30,2026-07-31,4,166,0.1,0.6777260228390942
EU,Exclude Inflation Rate Shock,Direct Short Variance 5% Vol,0.06744546570692322,0.05830734476698208,1.1519697592718303,1.5540214622150967,-0.10996122393466923,0.6133568115519913,-0.027465481201309965,-0.04793255926198975,0.027287090593217378,160.0,5.0,0.05866893178056069,0.05967177629566067,0.02949120801484776,0.026922671071707933,160,2011-06-30,2026-07-31,10,160,0.05,1.1661468953396414
EU,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol,0.1349974344744489,0.11661468953396416,1.1519697592718303,1.5540214622150967,-0.21360736588724494,0.6319886672152908,-0.05493096240261993,-0.0958651185239795,0.054574181186434756,160.0,5.0,0.10033913129224281,0.09920550371557235,0.07116140752652989,0.06859287058339006,160,2011-06-30,2026-07-31,10,160,0.1,1.1661468953396414
EU,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol (VRP > 0),0.13074905524064784,0.09939261634217447,1.2936753634467106,1.8393262544212667,-0.21360736588724505,0.6120999371794376,-0.03861778048638394,-0.07780777729055706,0.04463450738304262,160.0,5.0,0.10388454861202533,0.10545654953107775,0.07470682484631239,0.07213828790317256,160,2011-06-30,2026-07-31,10,160,0.1,0.9939261634217447
EU,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol (High VRP),0.06212466349543555,0.07810794760647123,0.8140195213763625,1.1033720445304136,-0.16942066701027925,0.36668881424995375,-0.013916695742094748,-0.05813521745484434,0.02304377488992539,160.0,5.0,0.048329265428071574,0.046990734388046684,0.01915154166235864,0.016583004719218815,160,2011-06-30,2026-07-31,10,160,0.1,0.7810794760647123
EU,Exclude All Major Crises,Direct Short Variance 5% Vol,0.08906011367214672,0.052988984792384876,1.6425562144527965,2.3581222518136156,-0.09047268366584416,0.9843867791198205,-0.019202839021985198,-0.03752794833577536,0.027845561023358983,141.0,5.0,0.08001780499495753,0.08253513079214847,0.019803957408761307,0.023105061651214023,141,2011-06-30,2026-07-31,29,141,0.05,1.0597796958476975
