date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2014-06-30,2014-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.10426848937957668,0,0,0.2916666666666667,-0.027994505922220927,0.06043256133499791,0.737438906372254,0.26256109362774604,0.1345406491117933,0.015073450934103394,0.014938910284991601,0.0206450108571647,0.0032678749048789,72,fitted,
2014-07-31,2014-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.08637674273618956,0,0,0.2916666666666667,-0.0198485017927891,0.06043256133499791,0.7481739543582863,0.25182604564171374,0.021470095972064618,-0.010685820158604323,-0.010707290254576387,-0.0134380323126438,0.0103065016660115,72,fitted,
2014-08-31,2014-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.26565533185855095,0,0,0.2916666666666667,-0.0198485017927891,0.059200735261029695,0.6406068008848694,0.35939319911513057,0.21513430694683366,0.02941271097120201,0.029197576664255175,0.0394641530141997,0.006543651975585,72,fitted,
2014-09-30,2014-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.12256311818691772,0,0,0.2916666666666667,-0.0198485017927891,0.059200735261029695,0.7264621290878495,0.27353787091215054,0.17171065640596006,-0.01170413488022484,-0.0118758455366308,-0.0137960646349067,0.0083852752536563,72,fitted,
2014-10-31,2014-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.23510046689067715,0,0,0.3055555555555556,-0.01901977921669444,0.04186643298170308,0.6589397198655937,0.34106028013440626,0.13504481844451144,0.019147688569695526,0.019012643751251015,0.0235507941510688,0.0322112420841767,72,fitted,
2014-11-30,2014-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3180463944081369,0,0,0.3194444444444444,-0.01793275884463846,0.04115087425286223,0.6091721633551179,0.3908278366448821,0.09953511302095164,0.0193029456993819,0.01920341058636095,0.0274718902984996,0.0040727695658734,72,fitted,
2014-12-31,2014-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.1634531804293901,0,0,0.3333333333333333,-0.01625521920404206,0.03900163017787599,0.701928091742366,0.29807190825763397,0.18551185677449622,-0.0013408362839118849,-0.001526348140686381,-0.0025368191991439,0.0231050557664015,72,fitted,
2015-01-31,2014-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.46972038982182507,0,1,0.3194444444444444,-0.01625521920404206,0.0370475839007756,0.518167766106905,0.48183223389309504,0.36752065127092215,-0.005464175309481676,-0.005831695960752599,-0.0296294039445595,0.0273729514320056,72,fitted,
2015-02-28,2015-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.5959875260354638,1,0,0.3333333333333333,-0.01625521920404206,0.03367208875240104,0.44240748437872174,0.5575925156212782,0.1515205634563664,0.01987606561549893,0.019724545052042564,0.0562047157616216,0.0123289611594899,72,fitted,
2015-03-31,2015-02-28,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.22040882920127325,0,1,0.3472222222222222,-0.01372445817045412,0.033347542089627,0.6677547024792362,0.3322452975207638,0.45069443620102884,-0.009242331702914632,-0.00969302613911566,-0.015705318762726,0.0196625988822306,72,fitted,
2015-04-30,2015-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3989122916449881,0,0,0.3472222222222222,-0.015323467937162138,0.032774465592405745,0.5606526250130072,0.43934737498699283,0.21420415493245804,0.004095230631287371,0.0038810264763549135,0.0098335988197435,0.0069824951346415,72,fitted,
2015-05-31,2015-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.27820582988981035,0,0,0.3472222222222222,-0.015323467937162138,0.03179099127707973,0.6330765020661139,0.3669234979338861,0.14484775410621342,0.006533879790194118,0.006389032036087905,0.0128561307003343,0.011684481555973,72,fitted,
2015-06-30,2015-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.31303810753953065,0,1,0.3472222222222222,-0.015323467937162138,0.0300932244309903,0.6121771354762816,0.3878228645237184,0.04179873317966454,-0.01660998448487621,-0.016651783218055875,-0.0203115919609671,0.0126300938740652,72,fitted,
2015-07-31,2015-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6729655175112169,1,0,0.3472222222222222,-0.01663707002960592,0.02949552625454857,0.39622068949326983,0.6037793105067302,0.43191289196602356,0.014155741732152005,0.013723828840185982,0.0225885702991868,0.0130861289347497,72,fitted,
2015-08-31,2015-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.1970311219340145,0,1,0.3333333333333333,-0.01663707002960592,0.027348668472675003,0.6817813268395913,0.31821867316040875,0.5711212746926428,-0.04262292080683016,-0.043194042081522804,-0.0609495604894528,0.0708891127570091,72,fitted,
2015-09-30,2015-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.9155530751849564,1,1,0.3333333333333333,-0.01793275884463846,0.02949552625454857,0.25066815488902616,0.7493318451109738,0.8622263439011302,-0.0003156273369501793,-0.0011778536808513095,-0.0255163653773383,0.0488701190813771,72,fitted,
2015-10-31,2015-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.7941617324133121,1,0,0.3194444444444444,-0.01901977921669444,0.0300932244309903,0.3235029605520128,0.6764970394479872,0.14566961132597323,0.02798061179282928,0.027834942181503307,0.0850598819349353,0.0192470206457399,72,fitted,
2015-11-30,2015-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2819442199922068,0,0,0.3333333333333333,-0.01793275884463846,0.02949552625454857,0.6308334680046759,0.3691665319953241,0.6146610149053262,0.0008693651996371098,0.0002547041847317836,0.0036551569603713,0.0134588757471278,72,fitted,
2015-12-31,2015-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.47333794337945095,0,1,0.3194444444444444,-0.01793275884463846,0.027348668472675003,0.5159972339723295,0.48400276602767045,0.22967246806469266,-0.009845271863574211,-0.010074944331638904,-0.0172824293324246,0.0322499404329786,72,fitted,
2016-01-31,2015-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6679544022409494,1,1,0.3333333333333333,-0.0180152431418582,0.02949552625454857,0.39922735865543035,0.6007726413445696,0.2335397506337984,-0.012422799456040239,-0.012656339206674036,-0.0497869575816805,0.0530294566212985,72,fitted,
2016-02-29,2016-01-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.7949146071764689,1,1,0.3194444444444444,-0.0180152431418582,0.0300932244309903,0.3230512356941187,0.6769487643058814,0.15235224592262336,0.005738088436040479,0.0055857361901178555,-0.0008256443239732,0.0390280071522599,72,fitted,
2016-03-31,2016-02-29,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.6727680465434437,1,0,0.3194444444444444,-0.0180152431418582,0.03177422765937823,0.39633917207393377,0.6036608279260662,0.1465758727596302,0.03194019924863852,0.03179362337587889,0.0672660877237718,0.0083737007573496,72,fitted,
2016-04-30,2016-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.18946576791204994,0,0,0.3194444444444444,-0.0180152431418582,0.03177422765937823,0.68632053925277,0.31367946074722997,0.5799627343576725,0.003504687710354024,0.0029247249759963515,0.0039410588202721,0.0099836167506883,72,fitted,
2016-05-31,2016-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3535706964033181,0,0,0.3194444444444444,-0.0180152431418582,0.03177422765937823,0.5878575821580092,0.4121424178419908,0.19692591418952166,0.010055940798907337,0.009859014884717816,0.0170112297539695,0.011685875544568,72,fitted,
2016-06-30,2016-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.3588870607411672,0,1,0.3194444444444444,-0.01719994503520486,0.02949552625454857,0.5846677635552997,0.4153322364447003,0.006379637205419009,0.010069723390414112,0.010063343753208692,0.0034763530420491,0.0349160132281398,72,fitted,
2016-07-31,2016-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.5012810466046747,1,0,0.3333333333333333,-0.01663707002960592,0.02949552625454857,0.49923137203719525,0.5007686279628047,0.1708727830362089,0.020933966806028777,0.02076309402299257,0.0364710284772564,0.0079791447561163,72,fitted,
2016-08-31,2016-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.25169523137929095,0,0,0.3194444444444444,-0.01663707002960592,0.027348668472675003,0.6489828611724254,0.35101713882757457,0.29950297827046035,2.122885264527381e-05,-0.00027827412562518654,0.0011974654720063,0.0026413094086102,72,fitted,
2016-09-30,2016-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.2709246995368196,0,0,0.3194444444444444,-0.015323467937162138,0.027348668472675003,0.6374451802779083,0.3625548197220917,0.023075361789034243,0.00022430592741947962,0.00020123056563044536,5.8425491511693295e-05,0.0193310506087537,72,fitted,
2016-10-31,2016-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.564380724496258,1,1,0.3194444444444444,-0.015323467937162138,0.026809032298505474,0.4613715653022452,0.5386284346977548,0.3521472299513262,-0.01240045310441125,-0.012752600334362575,-0.0173372667020604,0.0045127851148509,72,fitted,
