date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2022-08-31,2022-07-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.46245593509414434,0,1,0.2916666666666667,-0.04281126355819841,0.05841006038131982,0.5225264389435134,0.47747356105648664,0.34156128663502905,-0.050877819152508955,-0.05121938043914399,-0.0514684319813478,0.0239424892427382,72,fitted,
2022-09-30,2022-08-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.6328541215056259,1,1,0.3055555555555556,-0.04281126355819841,0.04693824538949104,0.4202875270966244,0.5797124729033756,0.20447782369377787,-0.044687201890432814,-0.04489167971412659,-0.0565925222341673,0.0428882342276102,72,fitted,
2022-10-31,2022-09-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.7673503417913335,1,0,0.3194444444444444,-0.04281126355819841,0.046329772653885826,0.3395897949251999,0.6604102050748001,0.16139546434284902,0.03145408948910652,0.031292694024763666,0.0902115882995262,0.0398316686709919,72,fitted,
2022-11-30,2022-10-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.6337588118734911,1,0,0.3194444444444444,-0.04281126355819841,0.046329772653885826,0.4197447128759053,0.5802552871240947,0.1603098359014108,0.05499304037654067,0.05483273054063926,0.0959712754777408,0.0287595194655722,72,fitted,
2022-12-31,2022-11-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.5033475897170374,1,1,0.3194444444444444,-0.04281126355819841,0.046329772653885826,0.4979914461697776,0.5020085538302224,0.1564934665877446,-0.03912835055072505,-0.03928484401731279,-0.0431555960521673,0.0320786188083406,72,fitted,
2023-01-31,2022-12-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.4969413870974018,0,0,0.3194444444444444,-0.04204627314567458,0.044812822901465,0.5018351677415589,0.4981648322584411,0.007687443143562567,0.05958042009269184,0.05957273264954828,0.097487377939988,0.0265110021864872,72,fitted,
2023-02-28,2023-01-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.5250678933852583,1,0,0.3333333333333333,-0.03743169996304346,0.04387045882602928,0.48495926396884503,0.515040736031155,0.033751807545427726,-0.002352000927373584,-0.002385752734919012,0.0179970178541732,0.0193122656707476,72,fitted,
2023-03-31,2023-02-28,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.4929240619961389,0,1,0.3472222222222222,-0.03644743841592,0.04324049703468044,0.5042455628023167,0.4957544371976833,0.03857259766694332,0.019684839179857958,0.019646266582191013,0.018089440775687,0.058993057544996,72,fitted,
2023-04-30,2023-03-31,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.49656610823290737,0,0,0.3472222222222222,-0.03644743841592,0.04387045882602928,0.5020603350602556,0.4979396649397444,0.004370455484122182,0.004630261298349455,0.004625890842865333,0.0102571826304691,0.0090775964916914,72,fitted,
2023-05-31,2023-04-30,ML Logistic + VRP,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann + vrp_proxy + log_iv_rv,6,0.4106535780328134,0,0,0.3472222222222222,-0.03644743841592,0.04387045882602928,0.553607853180312,0.446392146819688,0.10309503624011285,-0.016160687844227663,-0.016263782880467776,-0.0324065087439138,0.022200021041378,72,fitted,
